JMJD4 KRAS
KRAS CAB39
KRAS YBX2
KRAS IPO9
KRAS POLR3B
KRAS NOP16
KRAS TMEM150A
KRAS ING1
KRAS CSRNP1
KRAS ALLC
KRAS NAPA
KRAS PHF5A
KRAS RPL17
KRAS DIRAS3
KRAS RPL13
KRAS NUB1
KRAS GTF2B
KRAS SCFD2
KRAS ANKRD26
KRAS SUZ12
KRAS CDK13
KRAS ATG5
KRAS SLC66A1
KRAS FOXA2
KRAS PDX1
KRAS RSRP1
KRAS NARS1
KRAS SCARF1
KRAS PDZK1
KRAS HNRNPM
KRAS ATR
KRAS IKBKB
KRAS CDC25B
KRAS CDC27
KRAS CDC6
KRAS BRCA2
KRAS UBA2
KRAS LAS1L
KRAS MSRB2
KRAS ADH1A
KRAS POGLUT2
KRAS RPA2
KRAS DNAJC6
KRAS DNTTIP1
KRAS TRIM44
KRAS GPATCH2
KRAS MFSD6
KRAS BRIX1
KRAS APLP1
KRAS CD2BP2
KRAS IARS1
KRAS RPF1
KRAS ZZZ3
KRAS USP6
KRAS HNRNPC
KRAS CD83
KRAS ACTR1A
KRAS TMEM17
KRAS EMG1
KRAS HAUS4
KRAS CILK1
KRAS DHX38
KRAS PLEKHG2
KRAS GSPT1
KRAS TUBGCP3
KRAS AHCTF1
KRAS COPS3
KRAS NDUFA9
KRAS SP4
KRAS PLA2G2A
KRAS ASPH
KRAS SRSF8
KRAS PLAUR
KRAS FBXL20
KRAS NEK1
KRAS ADCY8
KRAS ANKRD20A1
KRAS ZC3H13
KRAS TMEM109
KRAS GOLGB1
KRAS FAM3C
KRAS POLR2H
KRAS CRYM
KRAS POLR2J
KRAS C7
KRAS CCT6A
KRAS TAOK1
KRAS KAT6B
KRAS RRP9
KRAS GALC
KRAS SRD5A3
KRAS FAM114A1
KRAS PSMD6
KRAS MSL2
KRAS NVL
KRAS NCAM1
KRAS VMP1
KRAS PRPF31
KRAS HSD3B7
KRAS KCNJ3
KRAS C6
KRAS MAPKAPK5
KRAS RAD23B
KRAS FGD1
KRAS PDSS2
KRAS DCXR
KRAS AP4E1
KRAS PCGF2
KRAS NHEJ1
KRAS CBR3
KRAS IFIT2
KRAS FMN1
KRAS NXF1
KRAS MX1
KRAS NONO
KRAS SYPL2
KRAS CCND2
KRAS PRKAR1B
KRAS PFDN1
KRAS SNRPC
KRAS TUBGCP5
KRAS UBE2M
KRAS FAM178B
KRAS CXCL8
KRAS LOXL2
KRAS TRNT1
KRAS ZC3H15
KRAS EIF2S2
KRAS ELP1
KRAS RPL4
KRAS ZNRF1
KRAS TAF6
KRAS TAF5
KRAS ERH
KRAS TAF1
KRAS CTTNBP2NL
KRAS TRIM52
KRAS CFL1
KRAS EYA4
KRAS C2orf16
KRAS UNKL
KRAS DES
KRAS DEFA5
KRAS ESS2
KRAS PNPLA4
KRAS ZCCHC13
KRAS BRAF
KRAS AMFR
KRAS MRPL39
KRAS DCX
KRAS KRT32
KRAS RGS22
KRAS CHMP2B
KRAS SH2D3A
KRAS CDC5L
KRAS NRDC
KRAS HHATL
KRAS SLC11A2
KRAS YME1L1
KRAS SRSF9
KRAS TBCD
KRAS ATP10A
KRAS AEBP2
KRAS STAU2
KRAS MNDA
KRAS ZNRF3
KRAS RPL35
KRAS PKIA
KRAS DVL3
KRAS SELENOS
KRAS TRIM46
KRAS CUX1
KRAS EAF1
KRAS SLC7A3
KRAS UHRF2
KRAS EBLN2
KRAS IRAK3
KRAS COPS2
KRAS KIF4A
KRAS SLC9A8
KRAS PYM1
KRAS NR1H2
KRAS TMEM184A
KRAS CKAP5
KRAS MTA2
KRAS MFSD12
KRAS MPDZ
KRAS GNPDA1
KRAS MTOR
KRAS DICER1
KRAS LGALSL
KRAS EIF4G2
KRAS EIF4G1
KRAS TCERG1
KRAS HSDL2
KRAS ABI3
KRAS ALKBH7
KRAS MARCHF5
KRAS SNAP23
KRAS ILF2
KRAS GPD1
KRAS MAP3K7
KRAS CLDN10
KRAS HNF4G
KRAS SPAST
KRAS POLG
KRAS PIP4K2A
KRAS GRTP1
KRAS POLA1
KRAS COPS8
KRAS PRPF19
KRAS UNC45A
KRAS DLG4
KRAS SYNM
KRAS NNT
KRAS ZNF418
KRAS PHF20
KRAS HOMER1
KRAS KLHL25
KRAS ITM2A
KRAS ERBIN
KRAS TCOF1
KRAS KARS1
KRAS ECH1
KRAS NCL
KRAS TMEM126A
KRAS CPSF2
KRAS FBXL7
KRAS BCORL1
KRAS SHTN1
KRAS ST6GALNAC5
KRAS ALG2
KRAS SULT4A1
KRAS SNUPN
KRAS MCPH1
KRAS HUWE1
KRAS ATP9A
KRAS MACIR
KRAS DHX8
KRAS PIAS1
KRAS KLHL38
KRAS NDUFA12
KRAS MFF
KRAS EPS8L1
KRAS SEMA7A
KRAS ZMAT1
KRAS UBE2O
KRAS CLIC4
C6orf136 FBXW7
FBXW7 MACROH2A2
FBXW7 COL12A1
FBXW7 MEP1A
FBXW7 MED22
FBXW7 CYLD
FBXW7 SSH2
FBXW7 C5orf15
FBXW7 MS4A1
FBXW7 NECTIN3
FBXW7 FGA
FBXW7 TBCB
FBXW7 MOCS1
FBXW7 COPS3
FBXW7 SPTBN1
FBXW7 TRIM58
FBXW7 EXOSC4
FBXW7 ZC3H18
FBXW7 NRAS
FBXW7 BUB1B
FBXW7 EIF4A3
FBXW7 DDO
FBXW7 TBX4
FBXW7 B3GALNT2
FBXW7 SRBD1
FBXW7 DNAJC21
FBXW7 FAM32A
FBXW7 FANCD2
FBXW7 CTDP1
FBXW7 GMDS
FBXW7 HRAS
FBXW7 CDK18
FBXW7 DIDO1
FBXW7 MTFMT
FBXW7 COPS6
FBXW7 RBMX
FBXW7 CYBB
FBXW7 PHF20L1
FBXW7 TJP2
FBXW7 PTGDS
FBXW7 ALKBH8
FBXW7 SUPT6H
FBXW7 YAP1
FBXW7 RIMOC1
FBXW7 TRAT1
FBXW7 SPRED1
FBXW7 UBAC1
FBXW7 RALYL
FBXW7 NELFE
FBXW7 CDR2
FBXW7 OSGIN2
FBXW7 PALM2AKAP2
FBXW7 KATNAL1
FBXW7 GAK
FBXW7 TMEM65
FBXW7 NAPG
FBXW7 DLC1
FBXW7 MYC
FBXW7 TMEM126B
FBXW7 AP2A1
FBXW7 GRIK3
FBXW7 ITGAV
FBXW7 PTPRN2
FBXW7 EFHC1
FBXW7 NCOR1
FBXW7 SOX7
FBXW7 PUF60
FBXW7 SSBP1
FBXW7 SNRNP70
FBXW7 VPS16
FBXW7 MASTL
FBXW7 CTIF
FBXW7 ZCCHC3
FBXW7 COL1A2
FBXW7 SENP7
FBXW7 RSPRY1
FBXW7 EIF4E3
FBXW7 ACTR5
FBXW7 LETM2
FBXW7 MMAA
FBXW7 TUBA1B
FBXW7 RSBN1L
FBXW7 NDUFB9
FBXW7 GGCT
FBXW7 FEN1
FBXW7 ZFR
FBXW7 RERE
FBXW7 SPDL1
BTBD9 NRAS
BTBD9 HRAS
NRAS DOCK10
NRAS LIPG
NRAS SULT1B1
NRAS UTP4
NRAS RFC3
NRAS MRPL30
NRAS RFC5
NRAS XRCC1
NRAS XPO1
NRAS NGLY1
NRAS BFAR
NRAS MRPL23
NRAS RPL30
NRAS METTL14
NRAS ITFG1
NRAS SULT1A2
NRAS QARS1
NRAS SRMS
NRAS NQO2
NRAS KCNMA1
NRAS AMPH
NRAS GIMAP2
NRAS TMEM30B
NRAS SHCBP1L
NRAS TMED8
NRAS CACNA2D2
NRAS GOSR1
NRAS DHX30
NRAS ZNF579
NRAS ACOT11
NRAS TBX20
NRAS CDKL3
NRAS SRPK3
NRAS NSA2
NRAS G3BP1
NRAS GNL3L
NRAS NECAB2
NRAS ENPP4
NRAS BTN2A2
NRAS ZC3HAV1L
NRAS FEZ2
NRAS TTC3
NRAS NCOR1
NRAS RPS12
NRAS RPS14
NRAS RPS15
NRAS INO80E
NRAS CLSTN3
NRAS ACVR2B
NRAS ACVRL1
NRAS ACTR2
NRAS ARPC3
NRAS DBT
NRAS HASPIN
NRAS ARHGAP24
NRAS SOCS2
NRAS POLDIP3
NRAS PIWIL4
NRAS CASS4
NRAS UPF1
NRAS CLU
NRAS POU2F2
NRAS CLIC1
NRAS CLK2
NRAS DDX21
NRAS USP25
NRAS POFUT1
NRAS NCOA6
NRAS GMPPB
NRAS LRRC39
NRAS CBS
NRAS PPFIA1
NRAS DCDC2
NRAS SHKBP1
NRAS SLC25A1
NRAS RGS5
NRAS NOL6
NRAS KIF11
NRAS HSFX1
NRAS DRAM1
NRAS WDR3
NRAS RGCC
NRAS KLF3
NRAS YES1
NRAS NEDD8
NRAS SLC15A3
NRAS CCNA2
NRAS ERGIC2
NRAS UBE2Z
NRAS PACC1
NRAS TMED10
NRAS ASCC3
NRAS NDUFV2
NRAS FERMT2
NRAS ZC3H10
NRAS KCNA10
NRAS KCNA5
NRAS TRERF1
NRAS GALNT15
NRAS TTLL3
NRAS SIRPA
NRAS ELL
NRAS SH3GLB1
NRAS JADE3
NRAS RAB22A
NRAS POLR1C
NRAS STARD7
NRAS KLB
NRAS BMPR1A
NRAS EPS8
NRAS EPRS1
NRAS ZFP2
NRAS GRAP2
NRAS ST7
NRAS POLR3F
NRAS UGT3A1
NRAS ADAM22
NRAS BASP1
NRAS EPB41L4B
NRAS IKZF2
NRAS KNL1
NRAS SPC24
NRAS POLD3
NRAS FHIP1B
NRAS RPS17
NRAS CZIB
NRAS USP38
NRAS CCT2
NRAS UBE2E1
NRAS UBE2D1
NRAS CXCL16
NRAS UBE2I
NRAS GLT8D2
NRAS PROM1
NRAS CDCA3
NRAS GPX4
NRAS CAMKV
NRAS THRSP
NRAS THRA
NRAS PON2
NRAS VTI1A
NRAS SERPINB12
NRAS EFL1
NRAS CYLD
NRAS CIT
NRAS EMID1
NRAS RIOK1
NRAS KMT5B
NRAS STOML3
NRAS UBQLN2
NRAS LRRN4CL
NRAS THOC1
NRAS NUP214
NRAS OLIG2
